OrderID,OrderDate,CustomerID,CustomerName,City,State,Region,Segment,ProductID,ProductName,Category,Quantity,UnitPrice,DiscountPercent,Sales,CostPrice,Profit,ProfitMargin,PaymentMode,ShippingMode,DeliveryDays,Salesperson,Returned
ORD00011,2025-04-29,C078,Customer 43,Kochi,Kerala,South,Consumer,P005,Laptop Stand,Accessories,7,687,15,4087.65,220,2655.85,64.97,Credit Card,Standard,6,Priya,Yes
ORD00012,2025-01-03,C075,Customer 215,Delhi,Delhi,North,Home Office,P008,Webcam,Electronics,3,1069,10,2886.3,700,818.37,28.35,Debit Card,Same Day,5,Arjun,Yes
ORD00013,2025-07-24,C202,Customer 54,Mumbai,Maharashtra,West,Corporate,P001,Wireless Mouse,Electronics,9,751,15,5745.15,250,3647.23,63.48,Cash,Standard,2,Ravi,Yes
ORD00014,2025-01-27,C053,Customer 1,Bengaluru,Karnataka,South,Home Office,P008,Webcam,Electronics,2,1148,20,1836.8,700,528.64,28.78,Credit Card,Same Day,1,Arjun,Yes
ORD00015,2025-11-21,C130,Customer 178,Bengaluru,Karnataka,South,Home Office,P002,Keyboard,Electronics,10,665,5,6317.5,180,4534.12,71.77,Debit Card,Express,1,Ravi,No
ORD00016,2025-03-15,C053,Customer 176,Mumbai,Maharashtra,West,Home Office,P008,Webcam,Electronics,8,1119,0,8952.0,700,3352.0,37.44,Debit Card,Express,7,Aisha,Yes
ORD00017,2025-12-20,C279,Customer 14,Bengaluru,Karnataka,South,Home Office,P001,Wireless Mouse,Electronics,9,720,5,6156.0,250,3922.2,63.71,Debit Card,Same Day,7,Ravi,No
ORD00018,2025-09-30,C278,Customer 258,Bengaluru,Karnataka,South,Corporate,P006,Headphones,Electronics,6,1490,5,8493.0,600,4915.35,57.88,Credit Card,Same Day,7,Priya,Yes
ORD00019,2025-09-10,C183,Customer 15,Kochi,Kerala,South,Consumer,P007,Desk,Furniture,4,1804,20,5772.8,1500,61.44,1.06,Debit Card,Express,3,Priya,No
ORD00020,2025-04-23,C053,Customer 117,Kochi,Kerala,South,Corporate,P008,Webcam,Electronics,6,1173,0,7038.0,700,2838.0,40.32,Credit Card,Express,2,Meena,Yes
ORD00021,2025-12-05,C062,Customer 199,Kochi,Kerala,South,Home Office,P008,Webcam,Electronics,6,1618,0,9708.0,700,5508.0,56.74,Credit Card,Express,2,Meena,No
ORD00022,2025-02-13,C082,Customer 88,Kochi,Kerala,South,Consumer,P002,Keyboard,Electronics,7,754,15,4486.3,180,3345.05,74.56,UPI,Standard,5,Meena,Yes
ORD00023,2025-10-08,C068,Customer 11,Kochi,Kerala,South,Consumer,P008,Webcam,Electronics,6,959,20,4603.2,700,633.36,13.76,UPI,Same Day,6,Priya,No
ORD00024,2025-05-30,C257,Customer 124,Bengaluru,Karnataka,South,Home Office,P004,Office Chair,Furniture,1,857,5,814.15,500,316.29,38.85,Debit Card,Express,5,Meena,Yes
ORD00025,2025-09-22,C216,Customer 257,Kochi,Kerala,South,Consumer,P001,Wireless Mouse,Electronics,6,819,20,3931.2,250,2627.76,66.84,Net Banking,Standard,5,Kiran,Yes
ORD00026,2025-03-30,C073,Customer 243,Bengaluru,Karnataka,South,Home Office,P008,Webcam,Electronics,10,804,5,7638.0,700,658.1,8.62,UPI,Same Day,1,Arjun,No
ORD00027,2025-05-22,C022,Customer 51,Delhi,Delhi,North,Home Office,P002,Keyboard,Electronics,1,534,5,507.3,180,328.63,64.78,Cash,Same Day,1,Ravi,No
ORD00028,2025-04-13,C142,Customer 232,Delhi,Delhi,North,Home Office,P006,Headphones,Electronics,9,1320,20,9504.0,600,4579.2,48.18,Net Banking,Express,5,Priya,No
ORD00029,2025-07-20,C227,Customer 162,Mumbai,Maharashtra,West,Consumer,P004,Office Chair,Furniture,3,1026,0,3078.0,500,1578.0,51.27,Credit Card,Express,1,Priya,No
ORD00030,2025-03-12,C240,Customer 113,Bengaluru,Karnataka,South,Home Office,P002,Keyboard,Electronics,6,426,10,2300.4,180,1245.96,54.16,UPI,Express,4,Priya,Yes
ORD00031,2025-06-23,C216,Customer 101,Kochi,Kerala,South,Corporate,P003,Monitor,Electronics,7,1427,15,8490.65,800,3115.4,36.69,Debit Card,Standard,6,Arjun,Yes
ORD00032,2025-07-16,C170,Customer 265,Delhi,Delhi,North,Home Office,P006,Headphones,Electronics,8,1151,0,9208.0,600,4408.0,47.87,Debit Card,Same Day,1,Ravi,Yes
ORD00033,2025-04-03,C139,Customer 67,Chennai,Tamil Nadu,South,Corporate,P002,Keyboard,Electronics,5,558,0,2790.0,180,1890.0,67.74,Debit Card,Express,2,Kiran,No
ORD00034,2025-08-06,C038,Customer 138,Chennai,Tamil Nadu,South,Consumer,P006,Headphones,Electronics,5,758,5,3600.5,600,609.98,16.94,UPI,Express,1,Kiran,Yes
ORD00035,2025-06-23,C284,Customer 214,Hyderabad,Telangana,South,Corporate,P002,Keyboard,Electronics,2,744,0,1488.0,180,1128.0,75.81,Net Banking,Standard,1,Kiran,Yes
ORD00036,2025-04-14,C160,Customer 157,Bengaluru,Karnataka,South,Home Office,P002,Keyboard,Electronics,5,331,5,1572.25,180,676.39,43.02,Credit Card,Express,4,Kiran,Yes
ORD00037,2025-01-08,C010,Customer 259,Hyderabad,Telangana,South,Home Office,P005,Laptop Stand,Accessories,1,576,0,576.0,220,356.0,61.81,Credit Card,Same Day,4,Priya,No
ORD00038,2025-10-07,C202,Customer 260,Kochi,Kerala,South,Corporate,P002,Keyboard,Electronics,7,952,15,5664.4,180,4554.34,80.4,Credit Card,Standard,3,Priya,Yes
ORD00039,2025-01-08,C037,Customer 131,Hyderabad,Telangana,South,Corporate,P007,Desk,Furniture,1,2457,5,2334.15,1500,840.29,36.0,Credit Card,Standard,1,Aisha,No
ORD00040,2025-01-24,C236,Customer 95,Delhi,Delhi,North,Consumer,P005,Laptop Stand,Accessories,4,1029,10,3704.4,220,2865.56,77.36,Debit Card,Express,1,Arjun,No
ORD00041,2025-06-08,C112,Customer 183,Delhi,Delhi,North,Consumer,P006,Headphones,Electronics,6,950,0,5700.0,600,2100.0,36.84,UPI,Express,4,Ravi,No
ORD00042,2025-01-03,C047,Customer 136,Delhi,Delhi,North,Consumer,P005,Laptop Stand,Accessories,4,574,20,1836.8,220,1048.64,57.09,Credit Card,Express,5,Ravi,No
ORD00043,2025-02-13,C300,Customer 271,Hyderabad,Telangana,South,Consumer,P001,Wireless Mouse,Electronics,5,994,5,4721.5,250,3483.93,73.79,Net Banking,Express,7,Arjun,No
ORD00044,2025-01-23,C263,Customer 220,Hyderabad,Telangana,South,Home Office,P003,Monitor,Electronics,10,1558,5,14801.0,800,6839.95,46.21,Net Banking,Standard,5,Kiran,Yes
ORD00045,2025-11-23,C185,Customer 54,Chennai,Tamil Nadu,South,Corporate,P004,Office Chair,Furniture,1,642,5,609.9,500,111.5,18.28,Cash,Same Day,1,Aisha,Yes
ORD00046,2025-02-05,C258,Customer 275,Mumbai,Maharashtra,West,Consumer,P004,Office Chair,Furniture,5,603,15,2562.75,500,130.59,5.1,Net Banking,Standard,6,Aisha,No
ORD00047,2025-04-29,C236,Customer 253,Chennai,Tamil Nadu,South,Corporate,P005,Laptop Stand,Accessories,5,560,5,2660.0,220,1567.0,58.91,UPI,Express,6,Arjun,Yes
ORD00048,2025-05-11,C156,Customer 291,Chennai,Tamil Nadu,South,Consumer,P004,Office Chair,Furniture,10,750,10,6750.0,500,1825.0,27.04,UPI,Express,1,Meena,No
ORD00049,2025-05-29,C265,Customer 147,Kochi,Kerala,South,Corporate,P002,Keyboard,Electronics,4,971,15,3301.4,180,2668.79,80.84,Cash,Express,7,Ravi,Yes
ORD00050,2025-08-23,C040,Customer 260,Chennai,Tamil Nadu,South,Corporate,P005,Laptop Stand,Accessories,8,337,10,2426.4,220,693.36,28.58,Debit Card,Express,2,Priya,Yes
ORD00051,2025-03-09,C261,Customer 144,Bengaluru,Karnataka,South,Consumer,P002,Keyboard,Electronics,9,548,10,4438.8,180,2868.12,64.61,Debit Card,Standard,4,Meena,No
ORD00052,2025-07-27,C155,Customer 73,Bengaluru,Karnataka,South,Corporate,P001,Wireless Mouse,Electronics,1,853,15,725.05,250,494.24,68.17,Debit Card,Express,3,Ravi,No
ORD00053,2025-03-03,C101,Customer 7,Hyderabad,Telangana,South,Home Office,P001,Wireless Mouse,Electronics,6,1209,15,6165.9,250,4829.11,78.32,Debit Card,Express,3,Ravi,No
ORD00054,2025-05-21,C025,Customer 144,Delhi,Delhi,North,Consumer,P007,Desk,Furniture,2,1969,15,3347.3,1500,435.9,13.02,UPI,Same Day,3,Aisha,Yes
ORD00055,2025-04-08,C192,Customer 220,Hyderabad,Telangana,South,Consumer,P004,Office Chair,Furniture,7,1123,10,7074.9,500,3653.51,51.64,Cash,Same Day,5,Priya,Yes
ORD00056,2025-03-12,C147,Customer 249,Kochi,Kerala,South,Consumer,P001,Wireless Mouse,Electronics,7,811,20,4541.6,250,3018.68,66.47,Net Banking,Standard,2,Meena,No
ORD00057,2025-07-27,C123,Customer 155,Hyderabad,Telangana,South,Corporate,P006,Headphones,Electronics,5,961,10,4324.5,600,1372.55,31.74,Net Banking,Same Day,4,Ravi,Yes
ORD00058,2025-10-09,C113,Customer 232,Chennai,Tamil Nadu,South,Corporate,P003,Monitor,Electronics,4,1412,15,4800.8,800,1727.88,35.99,Cash,Express,2,Kiran,Yes
ORD00059,2025-02-16,C164,Customer 123,Chennai,Tamil Nadu,South,Corporate,P004,Office Chair,Furniture,3,950,20,2280.0,500,894.0,39.21,Debit Card,Same Day,2,Ravi,No
ORD00060,2025-05-19,C174,Customer 32,Mumbai,Maharashtra,West,Corporate,P007,Desk,Furniture,9,1815,15,13884.75,1500,752.29,5.42,Debit Card,Same Day,3,Priya,Yes
ORD00061,2025-11-27,C229,Customer 222,Hyderabad,Telangana,South,Corporate,P002,Keyboard,Electronics,4,673,15,2288.2,180,1628.77,71.18,UPI,Standard,1,Meena,No
ORD00062,2025-08-28,C230,Customer 128,Chennai,Tamil Nadu,South,Consumer,P008,Webcam,Electronics,2,1200,20,1920.0,700,616.0,32.08,Credit Card,Standard,2,Kiran,Yes
ORD00063,2025-01-01,C065,Customer 120,Chennai,Tamil Nadu,South,Home Office,P008,Webcam,Electronics,9,1595,0,14355.0,700,8055.0,56.11,UPI,Same Day,6,Arjun,Yes
ORD00064,2025-02-20,C037,Customer 154,Delhi,Delhi,North,Home Office,P005,Laptop Stand,Accessories,7,1035,0,7245.0,220,5705.0,78.74,Net Banking,Standard,4,Arjun,Yes
ORD00065,2025-05-23,C162,Customer 125,Chennai,Tamil Nadu,South,Corporate,P001,Wireless Mouse,Electronics,9,658,15,5033.7,250,2916.95,57.95,Net Banking,Standard,5,Priya,Yes
ORD00066,2025-04-10,C256,Customer 216,Kochi,Kerala,South,Consumer,P007,Desk,Furniture,5,1656,0,8280.0,1500,780.0,9.42,Debit Card,Standard,6,Meena,No
ORD00067,2025-08-04,C186,Customer 203,Mumbai,Maharashtra,West,Consumer,P004,Office Chair,Furniture,1,1312,10,1180.8,500,693.92,58.77,UPI,Express,6,Kiran,Yes
ORD00068,2025-04-29,C239,Customer 114,Mumbai,Maharashtra,West,Corporate,P004,Office Chair,Furniture,4,919,5,3492.2,500,1501.39,42.99,Debit Card,Standard,5,Meena,Yes
ORD00069,2025-11-01,C075,Customer 202,Mumbai,Maharashtra,West,Consumer,P004,Office Chair,Furniture,7,1281,0,8967.0,500,5467.0,60.97,Credit Card,Standard,5,Priya,No
ORD00070,2025-08-19,C161,Customer 58,Kochi,Kerala,South,Consumer,P001,Wireless Mouse,Electronics,1,538,15,457.3,250,219.41,47.98,Credit Card,Express,2,Priya,No
ORD00071,2025-06-19,C227,Customer 87,Hyderabad,Telangana,South,Consumer,P001,Wireless Mouse,Electronics,7,1209,10,7616.7,250,5951.33,78.14,UPI,Standard,3,Ravi,No
ORD00072,2025-07-14,C183,Customer 159,Chennai,Tamil Nadu,South,Corporate,P007,Desk,Furniture,9,2377,5,20323.35,1500,6876.83,33.84,UPI,Standard,6,Meena,Yes
ORD00073,2025-07-06,C243,Customer 16,Delhi,Delhi,North,Home Office,P006,Headphones,Electronics,8,897,10,6458.4,600,1730.16,26.79,Cash,Standard,7,Aisha,No
ORD00074,2025-02-01,C132,Customer 100,Mumbai,Maharashtra,West,Home Office,P001,Wireless Mouse,Electronics,1,825,0,825.0,250,575.0,69.7,UPI,Same Day,3,Arjun,No
ORD00075,2025-05-22,C153,Customer 2,Delhi,Delhi,North,Home Office,P006,Headphones,Electronics,1,968,10,871.2,600,280.88,32.24,Net Banking,Same Day,1,Ravi,Yes
ORD00076,2025-05-09,C221,Customer 253,Mumbai,Maharashtra,West,Consumer,P002,Keyboard,Electronics,8,1074,15,7303.2,180,6056.52,82.93,Cash,Standard,1,Aisha,No
ORD00077,2025-08-24,C186,Customer 41,Delhi,Delhi,North,Home Office,P003,Monitor,Electronics,4,1235,10,4446.0,800,1295.4,29.14,Credit Card,Express,7,Priya,Yes
ORD00078,2025-10-06,C167,Customer 83,Chennai,Tamil Nadu,South,Corporate,P007,Desk,Furniture,1,2093,20,1674.4,1500,258.12,15.42,UPI,Standard,3,Kiran,Yes
ORD00079,2025-03-30,C120,Customer 69,Chennai,Tamil Nadu,South,Corporate,P004,Office Chair,Furniture,7,1110,15,6604.5,500,3279.32,49.65,Cash,Same Day,6,Priya,Yes
ORD00080,2025-07-10,C131,Customer 134,Hyderabad,Telangana,South,Consumer,P005,Laptop Stand,Accessories,5,900,10,4050.0,220,2995.0,73.95,Cash,Standard,2,Priya,Yes
ORD00081,2025-02-03,C203,Customer 129,Hyderabad,Telangana,South,Consumer,P003,Monitor,Electronics,10,1092,10,9828.0,800,1937.2,19.71,Net Banking,Same Day,2,Aisha,Yes
ORD00082,2025-04-29,C230,Customer 192,Chennai,Tamil Nadu,South,Consumer,P008,Webcam,Electronics,2,804,15,1366.8,700,2.98,0.22,Debit Card,Standard,1,Ravi,Yes
ORD00083,2025-08-18,C134,Customer 4,Chennai,Tamil Nadu,South,Consumer,P004,Office Chair,Furniture,6,1124,5,6406.8,500,3423.66,53.44,Net Banking,Same Day,5,Arjun,Yes
ORD00084,2025-04-15,C131,Customer 20,Hyderabad,Telangana,South,Home Office,P001,Wireless Mouse,Electronics,6,494,0,2964.0,250,1464.0,49.39,Credit Card,Standard,7,Arjun,No
ORD00085,2025-04-15,C017,Customer 254,Bengaluru,Karnataka,South,Home Office,P006,Headphones,Electronics,10,1019,0,10190.0,600,4190.0,41.12,Cash,Standard,4,Ravi,No
ORD00086,2025-07-23,C139,Customer 210,Kochi,Kerala,South,Corporate,P003,Monitor,Electronics,9,993,5,8490.15,800,1312.49,15.46,Debit Card,Express,1,Arjun,No
ORD00087,2025-11-26,C101,Customer 201,Mumbai,Maharashtra,West,Home Office,P007,Desk,Furniture,1,2484,10,2235.6,1500,760.44,34.02,Cash,Standard,1,Meena,Yes
ORD00088,2025-07-06,C236,Customer 84,Chennai,Tamil Nadu,South,Consumer,P007,Desk,Furniture,2,2015,20,3224.0,1500,385.2,11.95,UPI,Standard,5,Priya,No
ORD00089,2025-03-29,C075,Customer 179,Delhi,Delhi,North,Corporate,P002,Keyboard,Electronics,10,659,20,5272.0,180,3735.6,70.86,Credit Card,Same Day,2,Ravi,Yes
ORD00090,2025-01-23,C248,Customer 162,Mumbai,Maharashtra,West,Consumer,P007,Desk,Furniture,4,1908,5,7250.4,1500,1269.48,17.51,Net Banking,Same Day,4,Ravi,Yes
ORD00091,2025-08-31,C094,Customer 290,Delhi,Delhi,North,Consumer,P004,Office Chair,Furniture,7,1229,5,8172.85,500,4694.36,57.44,UPI,Express,5,Priya,No
ORD00092,2025-01-22,C288,Customer 20,Chennai,Tamil Nadu,South,Home Office,P006,Headphones,Electronics,3,952,5,2713.2,600,920.34,33.92,Debit Card,Standard,4,Kiran,No
ORD00093,2025-05-08,C218,Customer 200,Kochi,Kerala,South,Home Office,P005,Laptop Stand,Accessories,7,635,20,3556.0,220,2193.8,61.69,Debit Card,Express,5,Meena,Yes
ORD00094,2025-05-01,C229,Customer 235,Chennai,Tamil Nadu,South,Consumer,P001,Wireless Mouse,Electronics,10,851,15,7233.5,250,4924.98,68.09,Cash,Express,1,Ravi,Yes
ORD00095,2025-09-16,C262,Customer 21,Mumbai,Maharashtra,West,Consumer,P006,Headphones,Electronics,6,793,15,4044.3,600,551.36,13.63,Credit Card,Standard,6,Arjun,Yes
ORD00096,2025-01-14,C034,Customer 57,Delhi,Delhi,North,Consumer,P001,Wireless Mouse,Electronics,7,1018,5,6769.7,250,5037.52,74.41,Credit Card,Express,3,Priya,Yes
ORD00097,2025-03-23,C166,Customer 141,Hyderabad,Telangana,South,Corporate,P002,Keyboard,Electronics,10,1054,10,9486.0,180,7791.4,82.14,Credit Card,Express,5,Meena,Yes
ORD00098,2025-07-10,C019,Customer 102,Delhi,Delhi,North,Consumer,P005,Laptop Stand,Accessories,9,563,10,4560.3,220,2630.97,57.69,Cash,Standard,6,Arjun,No
ORD00099,2025-01-25,C185,Customer 232,Bengaluru,Karnataka,South,Home Office,P007,Desk,Furniture,5,1717,20,6868.0,1500,-288.6,-4.2,Net Banking,Same Day,6,Ravi,No
ORD00100,2025-07-08,C296,Customer 75,Kochi,Kerala,South,Corporate,P007,Desk,Furniture,6,1871,15,9542.1,1500,794.68,8.33,Debit Card,Standard,4,Priya,Yes
ORD00101,2025-11-24,C300,Customer 161,Hyderabad,Telangana,South,Home Office,P001,Wireless Mouse,Electronics,9,609,10,4932.9,250,2737.71,55.5,UPI,Same Day,1,Priya,Yes
ORD00102,2025-07-06,C025,Customer 68,Delhi,Delhi,North,Corporate,P005,Laptop Stand,Accessories,7,747,20,4183.2,220,2852.36,68.19,Credit Card,Same Day,6,Ravi,Yes
ORD00103,2025-02-24,C268,Customer 183,Chennai,Tamil Nadu,South,Home Office,P001,Wireless Mouse,Electronics,10,713,10,6417.0,250,3988.3,62.15,Credit Card,Express,5,Arjun,Yes
ORD00104,2025-03-23,C069,Customer 8,Hyderabad,Telangana,South,Consumer,P004,Office Chair,Furniture,10,1448,15,12308.0,500,7633.8,62.02,Credit Card,Express,1,Ravi,Yes
ORD00105,2025-11-27,C288,Customer 180,Mumbai,Maharashtra,West,Home Office,P005,Laptop Stand,Accessories,5,331,0,1655.0,220,555.0,33.53,Net Banking,Express,5,Kiran,No
ORD00106,2025-09-30,C013,Customer 208,Bengaluru,Karnataka,South,Consumer,P004,Office Chair,Furniture,1,645,0,645.0,500,145.0,22.48,Credit Card,Standard,1,Ravi,Yes
ORD00107,2025-11-08,C260,Customer 213,Bengaluru,Karnataka,South,Home Office,P004,Office Chair,Furniture,7,804,20,4502.4,500,1227.52,27.26,Credit Card,Same Day,3,Ravi,No
ORD00108,2025-01-04,C193,Customer 224,Kochi,Kerala,South,Home Office,P001,Wireless Mouse,Electronics,8,1082,20,6924.8,250,5271.04,76.12,Cash,Standard,6,Aisha,No
ORD00109,2025-11-26,C020,Customer 64,Bengaluru,Karnataka,South,Corporate,P003,Monitor,Electronics,2,1167,5,2217.3,800,623.13,28.1,Debit Card,Same Day,1,Arjun,No
ORD00110,2025-01-08,C087,Customer 134,Hyderabad,Telangana,South,Consumer,P005,Laptop Stand,Accessories,4,407,20,1302.4,220,487.52,37.43,Credit Card,Standard,6,Arjun,Yes
ORD00111,2025-11-19,C275,Customer 241,Hyderabad,Telangana,South,Corporate,P007,Desk,Furniture,10,1844,15,15674.0,1500,1088.9,6.95,Net Banking,Same Day,1,Ravi,No
ORD00112,2025-07-20,C300,Customer 40,Delhi,Delhi,North,Home Office,P004,Office Chair,Furniture,5,1408,5,6688.0,500,4205.6,62.88,Credit Card,Standard,1,Ravi,Yes
ORD00113,2025-12-25,C015,Customer 16,Delhi,Delhi,North,Consumer,P002,Keyboard,Electronics,3,633,5,1804.05,180,1268.8,70.33,Credit Card,Same Day,6,Aisha,Yes
ORD00114,2025-07-06,C103,Customer 274,Kochi,Kerala,South,Home Office,P002,Keyboard,Electronics,1,347,20,277.6,180,111.48,40.16,UPI,Same Day,4,Ravi,Yes
ORD00115,2025-11-21,C045,Customer 148,Bengaluru,Karnataka,South,Corporate,P004,Office Chair,Furniture,2,634,0,1268.0,500,268.0,21.14,UPI,Standard,1,Aisha,Yes
ORD00116,2025-01-11,C180,Customer 132,Hyderabad,Telangana,South,Corporate,P005,Laptop Stand,Accessories,6,753,10,4066.2,220,2791.38,68.65,UPI,Same Day,7,Arjun,No
ORD00117,2025-07-31,C016,Customer 224,Hyderabad,Telangana,South,Home Office,P008,Webcam,Electronics,10,1563,0,15630.0,700,8630.0,55.21,UPI,Express,4,Aisha,Yes
ORD00118,2025-03-29,C224,Customer 1,Kochi,Kerala,South,Home Office,P004,Office Chair,Furniture,2,1188,10,2138.4,500,1162.16,54.35,Credit Card,Express,7,Ravi,Yes
ORD00119,2025-09-11,C178,Customer 264,Mumbai,Maharashtra,West,Corporate,P006,Headphones,Electronics,2,1203,5,2285.7,600,1091.71,47.76,Net Banking,Standard,3,Priya,Yes
ORD00120,2025-09-09,C288,Customer 54,Bengaluru,Karnataka,South,Home Office,P008,Webcam,Electronics,2,1451,0,2902.0,700,1502.0,51.76,Debit Card,Express,1,Meena,No
ORD00121,2025-06-05,C135,Customer 220,Mumbai,Maharashtra,West,Home Office,P002,Keyboard,Electronics,1,660,5,627.0,180,448.65,71.56,Net Banking,Standard,4,Aisha,Yes
ORD00122,2025-11-27,C018,Customer 179,Bengaluru,Karnataka,South,Home Office,P008,Webcam,Electronics,9,1408,20,10137.6,700,4344.48,42.86,Debit Card,Same Day,2,Meena,No
ORD00123,2025-10-24,C119,Customer 65,Mumbai,Maharashtra,West,Corporate,P003,Monitor,Electronics,8,1605,10,11556.0,800,5284.4,45.73,Cash,Same Day,6,Priya,Yes
ORD00124,2025-05-07,C168,Customer 268,Hyderabad,Telangana,South,Corporate,P005,Laptop Stand,Accessories,10,478,5,4541.0,220,2352.95,51.82,Credit Card,Standard,3,Priya,No
ORD00125,2025-03-19,C076,Customer 155,Bengaluru,Karnataka,South,Home Office,P002,Keyboard,Electronics,2,480,15,816.0,180,477.6,58.53,Debit Card,Express,3,Priya,Yes
ORD00126,2025-01-18,C007,Customer 205,Hyderabad,Telangana,South,Corporate,P002,Keyboard,Electronics,4,677,15,2301.8,180,1642.73,71.37,Credit Card,Same Day,6,Arjun,No
ORD00127,2025-01-03,C125,Customer 221,Bengaluru,Karnataka,South,Home Office,P001,Wireless Mouse,Electronics,5,968,15,4114.0,250,2972.9,72.26,Net Banking,Same Day,6,Aisha,No
ORD00128,2025-12-14,C093,Customer 64,Kochi,Kerala,South,Corporate,P004,Office Chair,Furniture,10,1472,5,13984.0,500,9020.8,64.51,Cash,Express,3,Aisha,Yes
ORD00129,2025-05-09,C217,Customer 248,Bengaluru,Karnataka,South,Corporate,P007,Desk,Furniture,7,2330,5,15494.5,1500,5035.27,32.5,UPI,Same Day,7,Meena,Yes
ORD00130,2025-02-24,C020,Customer 129,Chennai,Tamil Nadu,South,Home Office,P006,Headphones,Electronics,7,1551,15,9228.45,600,5272.73,57.14,Credit Card,Standard,6,Priya,No
ORD00131,2025-09-01,C263,Customer 9,Delhi,Delhi,North,Home Office,P002,Keyboard,Electronics,8,834,5,6338.4,180,4915.08,77.54,Debit Card,Same Day,3,Meena,No
ORD00132,2025-03-04,C183,Customer 29,Kochi,Kerala,South,Corporate,P004,Office Chair,Furniture,3,1001,20,2402.4,500,1022.52,42.56,Debit Card,Express,4,Ravi,Yes
ORD00133,2025-10-25,C136,Customer 56,Mumbai,Maharashtra,West,Consumer,P002,Keyboard,Electronics,7,923,10,5814.9,180,4619.51,79.44,Debit Card,Same Day,4,Kiran,Yes
ORD00134,2025-02-05,C099,Customer 241,Mumbai,Maharashtra,West,Home Office,P007,Desk,Furniture,4,1768,5,6718.4,1500,736.08,10.96,Net Banking,Same Day,2,Priya,No
ORD00135,2025-11-29,C065,Customer 241,Mumbai,Maharashtra,West,Corporate,P007,Desk,Furniture,5,2378,20,9512.0,1500,2487.6,26.15,Credit Card,Express,6,Meena,No
ORD00136,2025-05-24,C184,Customer 126,Kochi,Kerala,South,Home Office,P007,Desk,Furniture,3,2093,0,6279.0,1500,1779.0,28.33,Debit Card,Express,4,Meena,No
ORD00137,2025-07-17,C030,Customer 44,Kochi,Kerala,South,Home Office,P002,Keyboard,Electronics,6,436,10,2354.4,180,1300.56,55.24,Debit Card,Standard,5,Arjun,Yes
ORD00138,2025-05-09,C052,Customer 297,Bengaluru,Karnataka,South,Consumer,P001,Wireless Mouse,Electronics,2,1021,10,1837.8,250,1358.22,73.9,Credit Card,Standard,7,Meena,No
ORD00139,2025-03-27,C047,Customer 281,Bengaluru,Karnataka,South,Home Office,P003,Monitor,Electronics,7,1710,20,9576.0,800,4454.8,46.52,Debit Card,Standard,4,Aisha,Yes
ORD00140,2025-10-12,C061,Customer 136,Kochi,Kerala,South,Corporate,P002,Keyboard,Electronics,8,967,0,7736.0,180,6296.0,81.39,Credit Card,Standard,4,Meena,Yes
ORD00141,2025-05-07,C256,Customer 85,Mumbai,Maharashtra,West,Home Office,P008,Webcam,Electronics,3,1517,15,3868.35,700,1870.75,48.36,Net Banking,Same Day,1,Priya,No
ORD00142,2025-08-27,C192,Customer 219,Kochi,Kerala,South,Corporate,P008,Webcam,Electronics,10,1309,10,11781.0,700,4911.9,41.69,UPI,Standard,6,Arjun,Yes
